Task name,Property,Assignee,Completed on,Delay,Due,Parent-task,Priority,Project,Sub-tasks,Tags
"Implement role-based access control on the UI (Ex: Sales staff cannot see the Reports menu,….)",Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE: Employee management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Employee%20management%20319066011123801e97b9e7f975ae7310.md),Medium,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Desing filter to (Month/Year) to review report,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Make Monthly Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Make%20Monthly%20Report%2031906601112380b6bbc4e0f154f5e5b1.md),Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Intergate Charts (Library) to show revenue,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Make Monthly Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Make%20Monthly%20Report%2031906601112380b6bbc4e0f154f5e5b1.md),Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Design for certainly show (inventory report, import report,….)",Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Make Monthly Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Make%20Monthly%20Report%2031906601112380b6bbc4e0f154f5e5b1.md),Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Export to Excel or PDF),Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Make Monthly Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Make%20Monthly%20Report%2031906601112380b6bbc4e0f154f5e5b1.md),Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
API: Login (JWT Authentication),Done,Trương Tiến,,,"March 4, 2026 → March 30, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Book CRUD,Done,Huỳnh Gia Thịnh,,,"March 31, 2026 → April 10, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),"API: Author CRUD (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Author%20CRUD%2032d06601112380298eecf608b2a8626f.md), API: Book Category CRUD (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Book%20Category%20CRUD%2032d066011123802985f0f7dc771428a9.md)","API, App"
API: Book Sale Invoice,Done,Trương Tiến,,,"March 31, 2026 → April 10, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),"API: Book Sale Payment (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Book%20Sale%20Payment%2032d066011123800986e3e0dcee0829a7.md), API: Voucher Terms & Conditions (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Voucher%20Terms%20&%20Conditions%2032d06601112380d88a8dfa5d8a44a5b4.md)","API, App"
API: Author CRUD,Done,Huỳnh Gia Thịnh,,,"March 23, 2026 → May 30, 2026",API: Book CRUD (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Book%20CRUD%2031e066011123801989aae79c2a640420.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Book Category CRUD,Done,Huỳnh Gia Thịnh,,,"March 23, 2026 → May 30, 2026",API: Book CRUD (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Book%20CRUD%2031e066011123801989aae79c2a640420.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Employees Management,Done,Trương Tiến,,,"March 31, 2026 → April 10, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),"API: Users CRUD (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Users%20CRUD%2032d06601112380e1baafc1ef24be809a.md), API: Shifts Management and Staff Scheduling (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Shifts%20Management%20and%20Staff%20Scheduling%2032d06601112380c28d0deb3dc53463e1.md)","API, App"
API: Users CRUD,Done,Trương Tiến,,,"March 23, 2026 → May 30, 2026",API: Employees Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Employees%20Management%2032d06601112380df8a97e426e3a8ed4f.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Book Sale Payment,Done,Trương Tiến,,,"March 31, 2026 → April 10, 2026",API: Book Sale Invoice (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Book%20Sale%20Invoice%2031e066011123808ebba4d393420803f8.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Voucher Terms & Conditions,Done,Trương Tiến,,,"March 31, 2026 → April 10, 2026",API: Book Sale Invoice (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Book%20Sale%20Invoice%2031e066011123808ebba4d393420803f8.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Shifts Management and Staff Scheduling,Done,Trương Tiến,,,"March 23, 2026 → May 30, 2026",API: Employees Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Employees%20Management%2032d06601112380df8a97e426e3a8ed4f.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Customer Management,Done,Huỳnh Gia Thịnh,,,"March 31, 2026 → April 10, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),"API: Customer CRUD (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Customer%20CRUD%2034806601112380d8a9cbe0470c575240.md), API: Debt Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Debt%20Management%203480660111238026b231f902df22a21f.md)","API, App"
API: Customer CRUD,Done,Huỳnh Gia Thịnh,,,"March 31, 2026 → April 10, 2026",API: Customer Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Customer%20Management%2034806601112380b984d2de64965d48f1.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Debt Management,Done,Huỳnh Gia Thịnh,,,"March 31, 2026 → April 10, 2026",API: Customer Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Customer%20Management%2034806601112380b984d2de64965d48f1.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Report Design,Done,Huỳnh Gia Thịnh,,,"March 31, 2026 → April 10, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),"Monthly Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Monthly%20Report%20348066011123801b97cfef9b12219acc.md), Inventory Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Inventory%20Report%2034806601112380bd8dafc5205a7b2698.md), Import Report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Import%20Report%2034806601112380019ebcd3ef329dd0e0.md)","API, App"
Monthly Report,Done,Huỳnh Gia Thịnh,,,"March 9, 2026 → May 30, 2026",API: Report Design (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Report%20Design%20348066011123800a903deefc70f9b144.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
Inventory Report,Done,Huỳnh Gia Thịnh,,,"March 9, 2026 → May 30, 2026",API: Report Design (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Report%20Design%20348066011123800a903deefc70f9b144.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
Import Report,Done,Huỳnh Gia Thịnh,,,"March 9, 2026 → May 30, 2026",API: Report Design (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Report%20Design%20348066011123800a903deefc70f9b144.md),High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
FEATURE: Import Book,Done,Đơn Thuần,,,"March 31, 2026 → April 10, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),Design import book page (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20import%20book%20page%2037c06601112380e48626c7c8f661f42c.md),Design
FEATURE: Customer Managements,Done,Win Pear,,,"March 31, 2026 → April 10, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design page customer Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20page%20customer%20Management%2035c06601112380898113f21d201b1f06.md), Call API and write Logic for Add & Edit Customer Infomation (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20API%20and%20write%20Logic%20for%20Add%20&%20Edit%20Customer%20I%2037c06601112380cc8276c69a13b9cacf.md)",Design
Design page customer Management,Done,Win Pear,,,"March 31, 2026 → April 10, 2026",FEATURE: Customer Managements (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Customer%20Managements%2035c06601112380e3987be15b2c359c04.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,Design
Call API and write Logic for Add & Edit Customer Infomation,Done,Win Pear,,,"March 31, 2026 → April 10, 2026",FEATURE: Customer Managements (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Customer%20Managements%2035c06601112380e3987be15b2c359c04.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,Design
Design import book page,Done,Đơn Thuần,,,"March 31, 2026 → April 10, 2026",FEATURE: Import Book (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Import%20Book%2034f066011123804b87d6f1f85462d3d7.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,Design
FEATURE: Shift Schedule Management,Done,Trung Lê Hữu,,,"May 15, 2026 → June 5, 2026",,Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design UI for Shift Schedule Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20UI%20for%20Shift%20Schedule%20Management%20da106601112383bc8fde819fb7ad18f6.md), Design Filter by status of shift (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Filter%20by%20status%20of%20shift%2061f066011123839db0e101433624ee87.md), UI for add employee into shift (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/UI%20for%20add%20employee%20into%20shift%20093066011123837fa5dd814ba7612c8b.md)",Design
Design UI for Shift Schedule Management,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE: Shift Schedule Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Shift%20Schedule%20Management%20922066011123830a953501f3a35ccc2a.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Design Filter by status of shift,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE: Shift Schedule Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Shift%20Schedule%20Management%20922066011123830a953501f3a35ccc2a.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
UI for add employee into shift,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE: Shift Schedule Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Shift%20Schedule%20Management%20922066011123830a953501f3a35ccc2a.md),Medium,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
FEATURE: Regulation management,Done,Huỳnh Gia Thịnh,,,"May 15, 2026 → June 5, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Set up some KEY_WORKS for project need to change (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Set%20up%20some%20KEY_WORKS%20for%20project%20need%20to%20change%2037c0660111238023a71aef56520bef88.md), Call API to set up (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20API%20to%20set%20up%2037c066011123806598f3f151a73b4be3.md), Design basic UI (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20basic%20UI%2037c06601112380d984e1ffb2344a911e.md)",Design
FEATURE Payroll Management,Done,Trung Lê Hữu,,,"May 15, 2026 → June 5, 2026",,Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design UI for Payroll for employee Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20UI%20for%20Payroll%20for%20employee%20Management%208730660111238240b57501e774e97209.md), Call api for this feature (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20api%20for%20this%20feature%209ea06601112382edb44781b3dc712947.md)",Design
Design UI for Payroll for employee Management,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE Payroll Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Payroll%20Management%209290660111238341b220814faebcb118.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Call api for this feature,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE Payroll Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Payroll%20Management%209290660111238341b220814faebcb118.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
FEATURE Absent Management,Done,Trung Lê Hữu,,,"May 15, 2026 → June 5, 2026",,Low,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design UI for Absent employee Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20UI%20for%20Absent%20employee%20Management%209820660111238263a2390164f8b0fbd6.md), Call api for this feature (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20api%20for%20this%20feature%20292066011123822cb5b801fdb82c6d7e.md), Approve Absent to make change status (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Approve%20Absent%20to%20make%20change%20status%2037c0660111238004ae67db3a2a9a3a46.md)",Design
Design UI for Absent employee Management,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE Absent Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Absent%20Management%2050406601112383d19c7b81ef75bf0f6e.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Call api for this feature,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE Absent Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Absent%20Management%2050406601112383d19c7b81ef75bf0f6e.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Approve Absent to make change status,Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE Absent Management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Absent%20Management%2050406601112383d19c7b81ef75bf0f6e.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Set up some KEY_WORKS for project need to change,Done,Huỳnh Gia Thịnh,,,"May 15, 2026 → June 5, 2026",FEATURE: Regulation management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Regulation%20management%2037c0660111238072a486d905ae5767bf.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,Design
Call API to set up,Done,Huỳnh Gia Thịnh,,,"May 15, 2026 → June 5, 2026",FEATURE: Regulation management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Regulation%20management%2037c0660111238072a486d905ae5767bf.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,Design
Design basic UI,Done,Huỳnh Gia Thịnh,,,,FEATURE: Regulation management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Regulation%20management%2037c0660111238072a486d905ae5767bf.md),,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,
API: Reuglation,Done,Huỳnh Gia Thịnh,,,"May 15, 2026 → June 5, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Shift Management,Done,Trương Tiến,,,"May 15, 2026 → June 5, 2026",,Low,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Payroll Management,Done,Trương Tiến,,,"May 15, 2026 → June 5, 2026",,Low,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
API: Absent Employee Management,Done,Trương Tiến,,,"May 15, 2026 → June 5, 2026",,Low,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"API, App"
SRS + Thiết kế cơ sở dữ liệu & sơ đồ lớp,Done,Huỳnh Gia Thịnh,,,"May 25, 2026 → June 10, 2026",,High,Report documentation (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/Report%20documentation%2037c06601112380a5974ee8e69926a11e.md),,Docs
Introduction + UI design,Done,Trung Lê Hữu,,,"May 25, 2026 → June 10, 2026",,High,Report documentation (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/Report%20documentation%2037c06601112380a5974ee8e69926a11e.md),,Docs
System design & Software Design,Done,Đơn Thuần,,,"May 25, 2026 → June 10, 2026",,High,Report documentation (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/Report%20documentation%2037c06601112380a5974ee8e69926a11e.md),,Docs
Realistic & Conclusion,Done,Trương Tiến,,,"May 25, 2026 → June 10, 2026",,High,Report documentation (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/Report%20documentation%2037c06601112380a5974ee8e69926a11e.md),,Docs
Testing & Implementation,Done,Win Pear,,,"May 25, 2026 → June 10, 2026",,High,Report documentation (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/Report%20documentation%2037c06601112380a5974ee8e69926a11e.md),,Docs
PPT about Project + Demo,Done,Huỳnh Gia Thịnh,,,"May 25, 2026 → June 10, 2026",,High,Report documentation (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/Report%20documentation%2037c06601112380a5974ee8e69926a11e.md),,Docs
